date,inflation,unemployment,interest_rate
2010-01-01,1.0,9.2,1.0
2010-02-01,0.8,9.0,1.0
2010-03-01,1.6,9.0,1.0
2010-04-01,1.6,9.4,1.0
2010-05-01,1.7,8.9,1.0
2010-06-01,1.5,8.4,1.0
2010-07-01,1.7,8.9,1.0
2010-08-01,1.6,8.5,1.0
2010-09-01,1.9,8.5,1.0
2010-10-01,1.9,8.4,1.0
2010-11-01,1.9,8.1,1.0
2010-12-01,2.2,8.2,1.0
2011-01-01,2.3,8.1,1.0
2011-02-01,2.4,7.9,1.0
2011-03-01,2.7,8.0,1.0
2011-04-01,2.8,7.8,1.25
2011-05-01,2.7,7.9,1.25
2011-06-01,2.7,8.0,1.25
2011-07-01,2.5,7.9,1.5
2011-08-01,2.5,7.8,1.5
2011-09-01,3.0,7.7,1.5
2011-10-01,3.0,7.9,1.5
2011-11-01,3.0,7.8,1.25
2011-12-01,2.8,7.9,1.0
2012-01-01,2.7,8.0,1.0
2012-02-01,2.7,7.9,1.0
2012-03-01,2.7,7.6,1.0
2012-04-01,2.6,7.6,1.0
2012-05-01,2.4,8.3,1.0
2012-06-01,2.4,8.0,1.0
2012-07-01,2.4,8.1,0.75
2012-08-01,2.6,8.3,0.75
2012-09-01,2.6,8.2,0.75
2012-10-01,2.5,8.2,0.75
2012-11-01,2.2,8.5,0.75
2012-12-01,2.2,8.2,0.75
2013-01-01,2.0,8.0,0.75
2013-02-01,1.9,8.1,0.75
2013-03-01,1.7,8.4,0.75
2013-04-01,1.2,8.4,0.5
2013-05-01,1.4,8.0,0.5
2013-06-01,1.6,8.1,0.5
2013-07-01,1.6,8.0,0.5
2013-08-01,1.3,8.1,0.5
2013-09-01,1.1,8.2,0.5
2013-10-01,0.7,7.9,0.5
2013-11-01,0.9,8.2,0.25
2013-12-01,0.8,8.1,0.25
2014-01-01,0.8,8.2,0.25
2014-02-01,0.7,8.1,0.25
2014-03-01,0.5,8.2,0.25
2014-04-01,0.7,8.2,0.25
2014-05-01,0.5,7.8,0.25
2014-06-01,0.5,8.3,0.15
2014-07-01,0.4,7.9,0.15
2014-08-01,0.4,8.1,0.15
2014-09-01,0.3,7.9,0.05
2014-10-01,0.4,8.1,0.05
2014-11-01,0.3,8.1,0.05
2014-12-01,-0.2,7.6,0.05
2015-01-01,-0.6,7.9,0.05
2015-02-01,-0.3,8.0,0.05
2015-03-01,-0.1,7.7,0.05
2015-04-01,0.2,7.9,0.05
2015-05-01,0.6,7.7,0.05
2015-06-01,0.5,7.6,0.05
2015-07-01,0.6,7.2,0.05
2015-08-01,0.4,7.0,0.05
2015-09-01,0.2,7.5,0.05
2015-10-01,0.4,7.3,0.05
2015-11-01,0.1,7.0,0.05
2015-12-01,0.2,7.3,-0.3
2016-01-01,0.3,7.1,-0.3
2016-02-01,-0.1,7.2,-0.3
2016-03-01,0.0,7.4,-0.4
2016-04-01,-0.3,6.9,-0.4
2016-05-01,-0.1,7.3,-0.4
2016-06-01,0.1,6.8,-0.4
2016-07-01,0.2,6.9,-0.4
2016-08-01,0.2,7.2,-0.4
2016-09-01,0.4,6.8,-0.4
2016-10-01,0.5,7.0,-0.4
2016-11-01,0.6,7.0,-0.4
2016-12-01,1.1,7.1,-0.4
2017-01-01,1.7,7.0,-0.4
2017-02-01,2.0,7.0,-0.4
2017-03-01,1.5,6.5,-0.4
2017-04-01,1.9,6.9,-0.4
2017-05-01,1.4,6.9,-0.4
2017-06-01,1.3,6.7,-0.4
2017-07-01,1.3,7.0,-0.4
2017-08-01,1.5,6.5,-0.4
2017-09-01,1.6,6.9,-0.4
2017-10-01,1.4,7.0,-0.4
2017-11-01,1.5,6.5,-0.4
2017-12-01,1.3,6.7,-0.4
2018-01-01,1.3,6.8,-0.4
2018-02-01,1.1,5.9,-0.4
2018-03-01,1.4,6.2,-0.4
2018-04-01,1.2,6.5,-0.4
2018-05-01,2.0,6.0,-0.4
2018-06-01,2.0,6.6,-0.4
2018-07-01,2.2,6.5,-0.4
2018-08-01,2.1,6.5,-0.4
2018-09-01,2.1,6.6,-0.4
2018-10-01,2.3,6.5,-0.4
2018-11-01,1.9,6.6,-0.4
2018-12-01,1.5,6.8,-0.4
2019-01-01,1.4,6.3,-0.4
2019-02-01,1.5,6.9,-0.4
2019-03-01,1.4,7.4,-0.4
2019-04-01,1.7,6.6,-0.4
2019-05-01,1.2,6.6,-0.4
2019-06-01,1.3,6.4,-0.4
2019-07-01,1.0,7.3,-0.4
2019-08-01,1.0,7.3,-0.4
2019-09-01,0.8,6.8,-0.5
2019-10-01,0.7,6.9,-0.5
2019-11-01,1.0,7.7,-0.5
2019-12-01,1.3,6.8,-0.5
2020-01-01,1.4,7.4,-0.5
2020-02-01,1.2,7.8,-0.5
