"DATE","TIME PERIOD","unempleyment"
"1999-01-31","1999Jan","7.3"
"1999-02-28","1999Feb","7.0"
"1999-03-31","1999Mar","7.0"
"1999-04-30","1999Apr","6.9"
"1999-05-31","1999May","6.7"
"1999-06-30","1999Jun","6.7"
"1999-07-31","1999Jul","6.6"
"1999-08-31","1999Aug","6.7"
"1999-09-30","1999Sep","6.6"
"1999-10-31","1999Oct","6.4"
"1999-11-30","1999Nov","6.3"
"1999-12-31","1999Dec","6.3"
"2000-01-31","2000Jan","6.2"
"2000-02-29","2000Feb","6.1"
"2000-03-31","2000Mar","5.9"
"2000-04-30","2000Apr","5.9"
"2000-05-31","2000May","5.6"
"2000-06-30","2000Jun","5.8"
"2000-07-31","2000Jul","5.6"
"2000-08-31","2000Aug","5.5"
"2000-09-30","2000Sep","5.2"
"2000-10-31","2000Oct","5.2"
"2000-11-30","2000Nov","5.2"
"2000-12-31","2000Dec","4.9"
"2001-01-31","2001Jan","6.1"
"2001-02-28","2001Feb","6.0"
"2001-03-31","2001Mar","5.9"
"2001-04-30","2001Apr","5.8"
"2001-05-31","2001May","5.9"
"2001-06-30","2001Jun","5.9"
"2001-07-31","2001Jul","6.0"
"2001-08-31","2001Aug","6.0"
"2001-09-30","2001Sep","6.0"
"2001-10-31","2001Oct","6.3"
"2001-11-30","2001Nov","5.9"
"2001-12-31","2001Dec","6.0"
"2002-01-31","2002Jan","5.9"
"2002-02-28","2002Feb","5.9"
"2002-03-31","2002Mar","6.0"
"2002-04-30","2002Apr","6.1"
"2002-05-31","2002May","5.9"
"2002-06-30","2002Jun","5.8"
"2002-07-31","2002Jul","6.2"
"2002-08-31","2002Aug","6.0"
"2002-09-30","2002Sep","6.3"
"2002-10-31","2002Oct","6.2"
"2002-11-30","2002Nov","6.3"
"2002-12-31","2002Dec","6.4"
"2003-01-31","2003Jan","6.5"
"2003-02-28","2003Feb","6.1"
"2003-03-31","2003Mar","6.5"
"2003-04-30","2003Apr","6.5"
"2003-05-31","2003May","6.4"
"2003-06-30","2003Jun","6.5"
"2003-07-31","2003Jul","6.6"
"2003-08-31","2003Aug","7.0"
"2003-09-30","2003Sep","6.7"
"2003-10-31","2003Oct","7.0"
"2003-11-30","2003Nov","7.4"
"2003-12-31","2003Dec","7.2"
"2004-01-31","2004Jan","7.0"
"2004-02-29","2004Feb","7.6"
"2004-03-31","2004Mar","7.6"
"2004-04-30","2004Apr","7.3"
"2004-05-31","2004May","7.8"
"2004-06-30","2004Jun","7.6"
"2004-07-31","2004Jul","7.3"
"2004-08-31","2004Aug","7.4"
"2004-09-30","2004Sep","8.0"
"2004-10-31","2004Oct","7.3"
"2004-11-30","2004Nov","7.7"
"2004-12-31","2004Dec","7.6"
"2005-01-31","2005Jan","7.9"
"2005-02-28","2005Feb","8.3"
"2005-03-31","2005Mar","7.5"
"2005-04-30","2005Apr","7.7"
"2005-05-31","2005May","8.1"
"2005-06-30","2005Jun","8.3"
"2005-07-31","2005Jul","8.2"
"2005-08-31","2005Aug","8.0"
"2005-09-30","2005Sep","7.6"
"2005-10-31","2005Oct","8.1"
"2005-11-30","2005Nov","7.4"
"2005-12-31","2005Dec","7.9"
"2006-01-31","2006Jan","7.9"
"2006-02-28","2006Feb","7.2"
"2006-03-31","2006Mar","7.6"
"2006-04-30","2006Apr","7.9"
"2006-05-31","2006May","7.3"
"2006-06-30","2006Jun","7.1"
"2006-07-31","2006Jul","7.1"
"2006-08-31","2006Aug","7.2"
"2006-09-30","2006Sep","6.7"
"2006-10-31","2006Oct","6.7"
"2006-11-30","2006Nov","6.7"
"2006-12-31","2006Dec","6.6"
"2007-01-31","2007Jan","6.5"
"2007-02-28","2007Feb","6.3"
"2007-03-31","2007Mar","6.6"
"2007-04-30","2007Apr","6.2"
"2007-05-31","2007May","6.0"
"2007-06-30","2007Jun","6.3"
"2007-07-31","2007Jul","5.9"
"2007-08-31","2007Aug","6.1"
"2007-09-30","2007Sep","6.2"
"2007-10-31","2007Oct","6.3"
"2007-11-30","2007Nov","6.1"
"2007-12-31","2007Dec","6.1"
"2008-01-31","2008Jan","6.0"
"2008-02-29","2008Feb","5.9"
"2008-03-31","2008Mar","5.9"
"2008-04-30","2008Apr","5.7"
"2008-05-31","2008May","5.9"
"2008-06-30","2008Jun","6.7"
"2008-07-31","2008Jul","6.3"
"2008-08-31","2008Aug","6.0"
"2008-09-30","2008Sep","6.5"
"2008-10-31","2008Oct","6.4"
"2008-11-30","2008Nov","7.1"
"2008-12-31","2008Dec","6.9"
"2009-01-31","2009Jan","6.9"
"2009-02-28","2009Feb","7.8"
"2009-03-31","2009Mar","7.9"
"2009-04-30","2009Apr","7.9"
"2009-05-31","2009May","9.0"
"2009-06-30","2009Jun","8.5"
"2009-07-31","2009Jul","8.5"
"2009-08-31","2009Aug","8.9"
"2009-09-30","2009Sep","8.9"
"2009-10-31","2009Oct","8.9"
"2009-11-30","2009Nov","8.8"
"2009-12-31","2009Dec","9.1"
"2010-01-31","2010Jan","9.2"
"2010-02-28","2010Feb","9.0"
"2010-03-31","2010Mar","9.0"
"2010-04-30","2010Apr","9.4"
"2010-05-31","2010May","8.9"
"2010-06-30","2010Jun","8.4"
"2010-07-31","2010Jul","8.9"
"2010-08-31","2010Aug","8.5"
"2010-09-30","2010Sep","8.5"
"2010-10-31","2010Oct","8.4"
"2010-11-30","2010Nov","8.1"
"2010-12-31","2010Dec","8.2"
"2011-01-31","2011Jan","8.1"
"2011-02-28","2011Feb","7.9"
"2011-03-31","2011Mar","8.0"
"2011-04-30","2011Apr","7.8"
"2011-05-31","2011May","7.9"
"2011-06-30","2011Jun","8.0"
"2011-07-31","2011Jul","7.9"
"2011-08-31","2011Aug","7.8"
"2011-09-30","2011Sep","7.7"
"2011-10-31","2011Oct","7.9"
"2011-11-30","2011Nov","7.8"
"2011-12-31","2011Dec","7.9"
"2012-01-31","2012Jan","8.0"
"2012-02-29","2012Feb","7.9"
"2012-03-31","2012Mar","7.6"
"2012-04-30","2012Apr","7.6"
"2012-05-31","2012May","8.3"
"2012-06-30","2012Jun","8.0"
"2012-07-31","2012Jul","8.1"
"2012-08-31","2012Aug","8.3"
"2012-09-30","2012Sep","8.2"
"2012-10-31","2012Oct","8.2"
"2012-11-30","2012Nov","8.5"
"2012-12-31","2012Dec","8.2"
"2013-01-31","2013Jan","8.0"
"2013-02-28","2013Feb","8.1"
"2013-03-31","2013Mar","8.4"
"2013-04-30","2013Apr","8.4"
"2013-05-31","2013May","8.0"
"2013-06-30","2013Jun","8.1"
"2013-07-31","2013Jul","8.0"
"2013-08-31","2013Aug","8.1"
"2013-09-30","2013Sep","8.2"
"2013-10-31","2013Oct","7.9"
"2013-11-30","2013Nov","8.2"
"2013-12-31","2013Dec","8.1"
"2014-01-31","2014Jan","8.2"
"2014-02-28","2014Feb","8.1"
"2014-03-31","2014Mar","8.2"
"2014-04-30","2014Apr","8.2"
"2014-05-31","2014May","7.8"
"2014-06-30","2014Jun","8.3"
"2014-07-31","2014Jul","7.9"
"2014-08-31","2014Aug","8.1"
"2014-09-30","2014Sep","7.9"
"2014-10-31","2014Oct","8.1"
"2014-11-30","2014Nov","8.1"
"2014-12-31","2014Dec","7.6"
"2015-01-31","2015Jan","7.9"
"2015-02-28","2015Feb","8.0"
"2015-03-31","2015Mar","7.7"
"2015-04-30","2015Apr","7.9"
"2015-05-31","2015May","7.7"
"2015-06-30","2015Jun","7.6"
"2015-07-31","2015Jul","7.2"
"2015-08-31","2015Aug","7.0"
"2015-09-30","2015Sep","7.5"
"2015-10-31","2015Oct","7.3"
"2015-11-30","2015Nov","7.0"
"2015-12-31","2015Dec","7.3"
"2016-01-31","2016Jan","7.1"
"2016-02-29","2016Feb","7.2"
"2016-03-31","2016Mar","7.4"
"2016-04-30","2016Apr","6.9"
"2016-05-31","2016May","7.3"
"2016-06-30","2016Jun","6.8"
"2016-07-31","2016Jul","6.9"
"2016-08-31","2016Aug","7.2"
"2016-09-30","2016Sep","6.8"
"2016-10-31","2016Oct","7.0"
"2016-11-30","2016Nov","7.0"
"2016-12-31","2016Dec","7.1"
"2017-01-31","2017Jan","7.0"
"2017-02-28","2017Feb","7.0"
"2017-03-31","2017Mar","6.5"
"2017-04-30","2017Apr","6.9"
"2017-05-31","2017May","6.9"
"2017-06-30","2017Jun","6.7"
"2017-07-31","2017Jul","7.0"
"2017-08-31","2017Aug","6.5"
"2017-09-30","2017Sep","6.9"
"2017-10-31","2017Oct","7.0"
"2017-11-30","2017Nov","6.5"
"2017-12-31","2017Dec","6.7"
"2018-01-31","2018Jan","6.8"
"2018-02-28","2018Feb","5.9"
"2018-03-31","2018Mar","6.2"
"2018-04-30","2018Apr","6.5"
"2018-05-31","2018May","6.0"
"2018-06-30","2018Jun","6.6"
"2018-07-31","2018Jul","6.5"
"2018-08-31","2018Aug","6.5"
"2018-09-30","2018Sep","6.6"
"2018-10-31","2018Oct","6.5"
"2018-11-30","2018Nov","6.6"
"2018-12-31","2018Dec","6.8"
"2019-01-31","2019Jan","6.3"
"2019-02-28","2019Feb","6.9"
"2019-03-31","2019Mar","7.4"
"2019-04-30","2019Apr","6.6"
"2019-05-31","2019May","6.6"
"2019-06-30","2019Jun","6.4"
"2019-07-31","2019Jul","7.3"
"2019-08-31","2019Aug","7.3"
"2019-09-30","2019Sep","6.8"
"2019-10-31","2019Oct","6.9"
"2019-11-30","2019Nov","7.7"
"2019-12-31","2019Dec","6.8"
"2020-01-31","2020Jan","7.4"
"2020-02-29","2020Feb","7.8"
"2020-03-31","2020Mar","6.8"
"2020-04-30","2020Apr","8.2"
"2020-05-31","2020May","8.5"
"2020-06-30","2020Jun","9.1"
"2020-07-31","2020Jul","9.6"
"2020-08-31","2020Aug","9.3"
"2020-09-30","2020Sep","9.0"
"2020-10-31","2020Oct","8.7"
"2020-11-30","2020Nov","8.6"
"2020-12-31","2020Dec","9.2"
"2021-01-31","2021Jan","9.0"
"2021-02-28","2021Feb","9.1"
"2021-03-31","2021Mar","9.6"
"2021-04-30","2021Apr","9.1"
"2021-05-31","2021May","9.1"
"2021-06-30","2021Jun","9.4"
"2021-07-31","2021Jul","8.7"
"2021-08-31","2021Aug","8.9"
"2021-09-30","2021Sep","8.9"
"2021-10-31","2021Oct","8.4"
"2021-11-30","2021Nov","8.4"
"2021-12-31","2021Dec","8.0"
"2022-01-31","2022Jan","8.0"
"2022-02-28","2022Feb","7.3"
"2022-03-31","2022Mar","7.7"
"2022-04-30","2022Apr","7.8"
"2022-05-31","2022May","7.8"
"2022-06-30","2022Jun","7.5"
"2022-07-31","2022Jul","7.3"
"2022-08-31","2022Aug","6.9"
"2022-09-30","2022Sep","7.0"
"2022-10-31","2022Oct","7.7"
"2022-11-30","2022Nov","7.3"
"2022-12-31","2022Dec","7.5"
"2023-01-31","2023Jan","7.1"
"2023-02-28","2023Feb","7.7"
"2023-03-31","2023Mar","7.3"
"2023-04-30","2023Apr","7.2"
"2023-05-31","2023May","7.2"
"2023-06-30","2023Jun","8.1"
"2023-07-31","2023Jul","7.1"
"2023-08-31","2023Aug","8.2"
"2023-09-30","2023Sep","8.1"
"2023-10-31","2023Oct","7.9"
"2023-11-30","2023Nov","8.0"
"2023-12-31","2023Dec","8.2"
"2024-01-31","2024Jan","7.9"
"2024-02-29","2024Feb","8.0"
"2024-03-31","2024Mar","8.8"
"2024-04-30","2024Apr","8.6"
"2024-05-31","2024May","8.1"
"2024-06-30","2024Jun","8.3"
"2024-07-31","2024Jul","8.6"
"2024-08-31","2024Aug","8.3"
"2024-09-30","2024Sep","8.6"
"2024-10-31","2024Oct","8.2"
"2024-11-30","2024Nov","8.3"
"2024-12-31","2024Dec","8.5"
"2025-01-31","2025Jan","9.8"
"2025-02-28","2025Feb","8.9"
"2025-03-31","2025Mar","8.1"
"2025-04-30","2025Apr","8.6"
"2025-05-31","2025May","9.1"
"2025-06-30","2025Jun","8.3"
"2025-07-31","2025Jul","8.9"
"2025-08-31","2025Aug","8.8"
"2025-09-30","2025Sep","8.7"
"2025-10-31","2025Oct","9.3"
"2025-11-30","2025Nov","9.0"
"2025-12-31","2025Dec","8.8"
"2026-01-31","2026Jan","8.0"
"2026-02-28","2026Feb","8.4"
