year,model,feature_set,accuracy,precision,recall,f1,auc
2015,Logistic Regression,Market,0.5083,0.568,0.5259,0.5462,0.5091
2015,Random Forest,Market,0.575,0.5727,0.963,0.7182,0.5134
2015,XGBoost,Market,0.5708,0.5672,1.0,0.7239,0.507
2015,Logistic Regression,Market + Macro,0.4375,0.0,0.0,0.0,0.524
2015,Random Forest,Market + Macro,0.5375,0.5561,0.8815,0.6819,0.5202
2015,XGBoost,Market + Macro,0.5667,0.5649,1.0,0.7219,0.5275
2016,Logistic Regression,Market,0.55,0.6271,0.5362,0.5781,0.5742
2016,Random Forest,Market,0.5542,0.5683,0.9348,0.7068,0.5441
2016,XGBoost,Market,0.5625,0.5714,0.9565,0.7154,0.5053
2016,Logistic Regression,Market + Macro,0.5417,0.6273,0.5,0.5565,0.557
2016,Random Forest,Market + Macro,0.5708,0.5771,0.9493,0.7178,0.5305
2016,XGBoost,Market + Macro,0.5583,0.5696,0.9493,0.712,0.5085
2017,Logistic Regression,Market,0.4833,0.561,0.4964,0.5267,0.471
2017,Random Forest,Market,0.5875,0.587,0.9712,0.7317,0.4321
2017,XGBoost,Market,0.5833,0.5816,1.0,0.7354,0.4332
2017,Logistic Regression,Market + Macro,0.5625,0.5739,0.9496,0.7154,0.4894
2017,Random Forest,Market + Macro,0.5875,0.584,1.0,0.7374,0.4327
2017,XGBoost,Market + Macro,0.5792,0.5792,1.0,0.7335,0.4344
2018,Logistic Regression,Market,0.4625,0.5682,0.3546,0.4367,0.453
2018,Random Forest,Market,0.5875,0.5905,0.9716,0.7346,0.4836
2018,XGBoost,Market,0.5875,0.5875,1.0,0.7402,0.4826
2018,Logistic Regression,Market + Macro,0.5333,0.5721,0.8156,0.6725,0.4551
2018,Random Forest,Market + Macro,0.5833,0.5865,0.9858,0.7354,0.502
2018,XGBoost,Market + Macro,0.5875,0.5875,1.0,0.7402,0.4839
2019,Logistic Regression,Market,0.5375,0.5954,0.5735,0.5843,0.529
2019,Random Forest,Market,0.5792,0.5745,0.9926,0.7278,0.5612
2019,XGBoost,Market,0.575,0.5714,1.0,0.7273,0.5997
2019,Logistic Regression,Market + Macro,0.55,0.5843,0.7132,0.6424,0.5346
2019,Random Forest,Market + Macro,0.5833,0.5769,0.9926,0.7297,0.5665
2019,XGBoost,Market + Macro,0.575,0.5714,1.0,0.7273,0.583
2020,Logistic Regression,Market,0.4583,0.5128,0.4511,0.48,0.4513
2020,Random Forest,Market,0.5458,0.555,0.9098,0.6895,0.445
2020,XGBoost,Market,0.5333,0.5447,0.9624,0.6957,0.4734
2020,Logistic Regression,Market + Macro,0.425,0.4576,0.203,0.2812,0.4794
2020,Random Forest,Market + Macro,0.5333,0.5459,0.9398,0.6906,0.4395
2020,XGBoost,Market + Macro,0.5458,0.5504,0.985,0.7062,0.4615
2021,Logistic Regression,Market,0.5125,0.5405,0.4762,0.5063,0.5072
2021,Random Forest,Market,0.5,0.5136,0.8968,0.6532,0.429
2021,XGBoost,Market,0.5125,0.5191,0.9683,0.6759,0.4492
2021,Logistic Regression,Market + Macro,0.525,0.62,0.246,0.3523,0.5229
2021,Random Forest,Market + Macro,0.5042,0.5157,0.9127,0.659,0.4197
2021,XGBoost,Market + Macro,0.5167,0.5214,0.9683,0.6778,0.4645
2022,Logistic Regression,Market,0.5542,0.5426,0.5932,0.5668,0.5725
2022,Random Forest,Market,0.4833,0.4874,0.9831,0.6517,0.6088
2022,XGBoost,Market,0.4917,0.4917,1.0,0.6592,0.5754
2022,Logistic Regression,Market + Macro,0.525,0.511,0.7881,0.62,0.5819
2022,Random Forest,Market + Macro,0.4792,0.4852,0.9746,0.6479,0.5677
2022,XGBoost,Market + Macro,0.4875,0.4895,0.9915,0.6555,0.6121
2023,Logistic Regression,Market,0.5208,0.5565,0.5349,0.5455,0.5155
2023,Random Forest,Market,0.5333,0.5359,0.9845,0.694,0.5458
2023,XGBoost,Market,0.5375,0.5375,1.0,0.6992,0.554
2023,Logistic Regression,Market + Macro,0.5375,0.5375,1.0,0.6992,0.45
2023,Random Forest,Market + Macro,0.5333,0.5374,0.9457,0.6854,0.5382
2023,XGBoost,Market + Macro,0.5375,0.5375,1.0,0.6992,0.5542
2024,Logistic Regression,Market,0.4636,0.4959,0.5128,0.5042,0.4397
2024,Random Forest,Market,0.5364,0.5359,0.9573,0.6871,0.4488
2024,XGBoost,Market,0.5318,0.5318,1.0,0.6944,0.4412
2024,Logistic Regression,Market + Macro,0.4545,0.4911,0.7094,0.5804,0.4369
2024,Random Forest,Market + Macro,0.5091,0.5222,0.906,0.6625,0.476
2024,XGBoost,Market + Macro,0.5318,0.5318,1.0,0.6944,0.4272
