test_year,n_train,n_test,accuracy,precision,recall,f1,auc
2015,1060,240,0.4375,0.0,0.0,0.0,0.5239506172839506
2016,1300,240,0.5416666666666666,0.6272727272727273,0.5,0.5564516129032258,0.5569764137539074
2017,1540,240,0.5625,0.5739130434782609,0.9496402877697842,0.7154471544715447,0.48942232352731674
2018,1780,240,0.5333333333333333,0.572139303482587,0.8156028368794326,0.672514619883041,0.45511856150154023
2019,2020,240,0.55,0.5843373493975904,0.7132352941176471,0.6423841059602649,0.534643665158371
2020,2260,240,0.425,0.4576271186440678,0.20300751879699247,0.28125,0.4793760101187548
2021,2500,240,0.525,0.62,0.24603174603174602,0.3522727272727273,0.5229044834307993
2022,2740,240,0.525,0.510989010989011,0.788135593220339,0.62,0.5818977493748264
2023,2980,240,0.5375,0.5375,1.0,0.6991869918699187,0.4500314267756128
2024,3220,220,0.45454545454545453,0.4911242603550296,0.7094017094017094,0.5804195804195804,0.4368932038834952
