test_year,n_train,n_test,accuracy,precision,recall,f1,auc
2015,1060,240,0.5083333333333333,0.568,0.5259259259259259,0.5461538461538461,0.5090652557319224
2016,1300,240,0.55,0.6271186440677966,0.5362318840579711,0.578125,0.5741687979539642
2017,1540,240,0.48333333333333334,0.5609756097560976,0.49640287769784175,0.5267175572519084,0.4710449462212408
2018,1780,240,0.4625,0.5681818181818182,0.3546099290780142,0.4366812227074236,0.45296941041621896
2019,2020,240,0.5375,0.5954198473282443,0.5735294117647058,0.5842696629213483,0.5289875565610859
2020,2260,240,0.4583333333333333,0.5128205128205128,0.45112781954887216,0.48,0.45126835781041386
2021,2500,240,0.5125,0.5405405405405406,0.47619047619047616,0.5063291139240507,0.5071707045391255
2022,2740,240,0.5541666666666667,0.5426356589147286,0.5932203389830508,0.5668016194331984,0.5725201444845791
2023,2980,240,0.5208333333333334,0.5564516129032258,0.5348837209302325,0.5454545454545454,0.515538794608562
2024,3220,220,0.4636363636363636,0.49586776859504134,0.5128205128205128,0.5042016806722689,0.439714546510663
