test_year,n_train,n_test,accuracy,precision,recall,f1,auc
2015,1060,240,0.5375,0.5560747663551402,0.8814814814814815,0.6819484240687679,0.5202116402116401
2016,1300,240,0.5708333333333333,0.5770925110132159,0.9492753623188406,0.7178082191780822,0.5304774083546462
2017,1540,240,0.5875,0.5840336134453782,1.0,0.7374005305039788,0.43272312842795074
2018,1780,240,0.5833333333333334,0.5864978902953587,0.9858156028368794,0.7354497354497355,0.5019700551615445
2019,2020,240,0.5833333333333334,0.5769230769230769,0.9926470588235294,0.7297297297297297,0.5665299773755655
2020,2260,240,0.5333333333333333,0.5458515283842795,0.9398496240601504,0.6906077348066298,0.4394631438409107
2021,2500,240,0.5041666666666667,0.515695067264574,0.9126984126984127,0.6590257879656161,0.41966026176552496
2022,2740,240,0.4791666666666667,0.48523206751054854,0.9745762711864406,0.647887323943662,0.567657682689636
2023,2980,240,0.5333333333333333,0.5374449339207048,0.9457364341085271,0.6853932584269663,0.5382359103289336
2024,3220,220,0.509090909090909,0.5221674876847291,0.905982905982906,0.6625,0.4759770973363206
