test_year,n_train,n_test,accuracy,precision,recall,f1,auc
2015,1060,240,0.575,0.5726872246696035,0.9629629629629629,0.7182320441988951,0.5133686067019401
2016,1300,240,0.5541666666666667,0.5682819383259912,0.9347826086956522,0.7068493150684931,0.5441176470588236
2017,1540,240,0.5875,0.5869565217391305,0.9712230215827338,0.7317073170731707,0.43208205712657594
2018,1780,240,0.5875,0.5905172413793104,0.9716312056737588,0.7345844504021448,0.48355899419729204
2019,2020,240,0.5791666666666667,0.574468085106383,0.9926470588235294,0.7277628032345014,0.5612273755656109
2020,2260,240,0.5458333333333333,0.555045871559633,0.9097744360902256,0.6894586894586895,0.445014405171808
2021,2500,240,0.5,0.5136363636363637,0.8968253968253969,0.653179190751445,0.42898913951545525
2022,2740,240,0.48333333333333334,0.48739495798319327,0.9830508474576272,0.651685393258427,0.6087802167268686
2023,2980,240,0.5333333333333333,0.5358649789029536,0.9844961240310077,0.6939890710382514,0.5457783364760109
2024,3220,220,0.5363636363636364,0.5358851674641149,0.9572649572649573,0.6871165644171779,0.4488424197162061
