test_year,n_train,n_test,accuracy,precision,recall,f1,auc
2015,1060,240,0.5666666666666667,0.5648535564853556,1.0,0.7219251336898396,0.5275485008818342
2016,1300,240,0.5583333333333333,0.5695652173913044,0.9492753623188406,0.7119565217391305,0.5085251491901108
2017,1540,240,0.5791666666666667,0.5791666666666667,1.0,0.7335092348284961,0.4343614217536862
2018,1780,240,0.5875,0.5875,1.0,0.7401574803149606,0.48388136686009026
2019,2020,240,0.575,0.5714285714285714,1.0,0.7272727272727273,0.5829680429864253
2020,2260,240,0.5458333333333333,0.5504201680672269,0.9849624060150376,0.706199460916442,0.46152765090295833
2021,2500,240,0.5166666666666667,0.5213675213675214,0.9682539682539683,0.6777777777777778,0.4644945697577276
2022,2740,240,0.4875,0.4895397489539749,0.9915254237288136,0.6554621848739496,0.6121492081133648
2023,2980,240,0.5375,0.5375,1.0,0.6991869918699187,0.5541588099727635
2024,3220,220,0.5318181818181819,0.5318181818181819,1.0,0.6943620178041543,0.42722595635217
