test_year,n_train,n_test,accuracy,precision,recall,f1,auc
2015,1060,240,0.5708333333333333,0.5672268907563025,1.0,0.7238605898123325,0.506984126984127
2016,1300,240,0.5625,0.5714285714285714,0.9565217391304348,0.7154471544715447,0.5053282182438192
2017,1540,240,0.5833333333333334,0.5815899581589958,1.0,0.7354497354497355,0.4331861243678325
2018,1780,240,0.5875,0.5875,1.0,0.7401574803149606,0.4826276953936528
2019,2020,240,0.575,0.5714285714285714,1.0,0.7272727272727273,0.5996889140271493
2020,2260,240,0.5333333333333333,0.5446808510638298,0.9624060150375939,0.6956521739130435,0.47343826856861787
2021,2500,240,0.5125,0.5191489361702127,0.9682539682539683,0.6759002770083102,0.44921331105541634
2022,2740,240,0.49166666666666664,0.49166666666666664,1.0,0.659217877094972,0.5753681578216171
2023,2980,240,0.5375,0.5375,1.0,0.6991869918699187,0.5539842167749145
2024,3220,220,0.5318181818181819,0.5318181818181819,1.0,0.6943620178041543,0.44124968882250437
